Barbet Usambiro (Trachyphonus darnaudii usambiro)
Behavec čiapočkatý (Cursorius temminckii)
Bocian Abdimov (Ciciona Abdimii)
Bocian bielokrký (Ciconia episcopus)
Bocianovec sedlatý (Ephippiorhynchus senegalensis)
Chriašteľovec pásavý (Podica Senegalensis)
Cistovník dlhochvostý (Cisticola angusticauda)
Cistovník kamenár (Cisticola aberrans)
Cistovník trilkavý (Cisticola woosnami)
Čaplička hnedobruchá (Ardeola rufiventris)
Drop škvrnitokrídly (Neotis Denhami)
Hadožrút nohatý (Sagittarius serpentarius) 
Kúdeľníčka sivá (Anthoscopus caroli)
Lískavec červenooký (Lamprotornis hildebrantii)
Motýlik modrobruchý (Granatina ianthinogaster)
Muchárik sivochrbtý (Empidornis semipartitus) 
Okuliarnatka chochlatá (Prionops poliophus)
Orol vrkôčikatý (Hieraaetus Ayresii)
Pazúrnatka červenkavá (Macronyx ameliage)
Pštros africký (Struthio camelus)
Rybárik obrovský (Megaceryle maxima)
Sova pruhovaná (Strix Woodfordii)
Stepiar žltohrdlý (Pterocles gutturalis)
Strnádka škoricová (Emberiza Tahapisi)
Sýkorka červenohrdlá (Melaniparus fringillinus)
Tkáčik lýrochvostý (Euplectes jacksonii)
Tkáčik žltochrbtý (Euplectes macroura)
Turako bielobruchý (Corythaixoides leucogaster)
Turako chochlatý (Musophaga rossae)
Turako schalowov (Tauraco schalowi)
Vrabec sivý (Passer suahelicus)
Zoborožka tmavá (Bucorvus leadbeateri)

